VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2018-04-01 00:03:22,2018-04-01 00:26:51,1,8.00,1,N,132,130,2,25.5,0.5,0.5,0,0,0.3,26.8
1,2018-04-01 00:13:17,2018-04-01 00:15:56,1,.80,1,N,237,236,1,4.5,0.5,0.5,1,0,0.3,6.8
1,2018-04-01 00:33:07,2018-04-01 00:39:54,3,1.40,1,N,163,164,2,7,0.5,0.5,0,0,0.3,8.3
1,2018-04-01 00:50:52,2018-04-01 00:59:01,1,1.60,1,N,186,162,2,8,0.5,0.5,0,0,0.3,9.3
1,2018-04-01 00:03:28,2018-04-01 00:10:49,4,1.60,1,N,100,142,2,7.5,0.5,0.5,0,0,0.3,8.8
1,2018-04-01 00:16:51,2018-04-01 00:18:20,1,.50,1,N,143,239,2,3.5,0.5,0.5,0,0,0.3,4.8
1,2018-04-01 00:32:37,2018-04-01 00:41:06,2,1.40,1,N,166,152,2,8,0.5,0.5,0,0,0.3,9.3
1,2018-04-01 00:05:30,2018-04-01 00:07:53,1,.40,1,N,48,48,1,3.5,0.5,0.5,1,0,0.3,5.8
1,2018-04-01 00:10:02,2018-04-01 00:12:29,1,.60,1,N,48,68,1,4,0.5,0.5,1.05,0,0.3,6.35
1,2018-04-01 00:28:40,2018-04-01 00:46:30,2,5.00,1,N,48,13,2,17.5,0.5,0.5,0,0,0.3,18.8
2,2018-04-01 00:56:18,2018-04-01 01:35:03,1,9.10,1,N,246,42,2,31,0.5,0.5,0,0,0.3,32.3
2,2018-04-01 00:17:49,2018-04-01 00:54:37,1,18.98,2,N,132,141,1,52,0,0.5,11.71,5.76,0.3,70.27
1,2018-04-01 00:22:08,2018-04-01 00:25:42,1,.70,1,N,48,246,1,4.5,0.5,0.5,2,0,0.3,7.8
1,2018-04-01 00:30:43,2018-04-01 00:38:48,1,1.50,1,N,68,233,1,7.5,0.5,0.5,1.75,0,0.3,10.55
2,2018-04-01 00:12:05,2018-04-01 00:19:41,1,1.35,1,N,148,4,1,7.5,0.5,0.5,1.76,0,0.3,10.56
2,2018-04-01 00:15:12,2018-04-01 00:26:41,2,2.25,1,N,239,262,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,2018-04-01 00:50:22,2018-04-01 00:54:32,2,.74,1,N,48,50,2,5,0.5,0.5,0,0,0.3,6.3
2,2018-04-01 00:55:23,2018-04-01 00:59:10,1,.67,1,N,50,48,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2018-04-01 00:21:55,2018-04-01 00:26:51,1,.77,1,N,100,68,2,5.5,0.5,0.5,0,0,0.3,6.8
2,2018-04-01 00:43:25,2018-04-01 01:01:07,1,4.47,1,N,68,75,1,15.5,0.5,0.5,1,0,0.3,17.8
1,2018-04-01 00:35:17,2018-04-01 00:37:20,1,.30,1,N,107,234,1,3.5,0.5,0.5,1,0,0.3,5.8
1,2018-04-01 00:55:54,2018-04-01 01:06:08,2,2.40,1,N,100,238,1,10,0.5,0.5,2.25,0,0.3,13.55
2,2018-04-01 00:02:31,2018-04-01 00:05:30,1,.75,1,N,239,142,1,4.5,0.5,0.5,1,0,0.3,6.8
1,2018-04-01 00:03:40,2018-04-01 00:14:47,1,1.50,1,N,181,181,2,9,0.5,0.5,0,0,0.3,10.3
2,2018-04-01 00:38:50,2018-04-01 00:50:10,1,5.58,1,N,132,197,2,17,0.5,0.5,0,0,0.3,18.3
2,2018-04-01 00:04:56,2018-04-01 00:10:46,2,.91,1,N,234,68,1,5.5,0.5,0.5,2.04,0,0.3,8.84
2,2018-04-01 00:17:30,2018-04-01 00:28:47,1,1.32,1,N,164,162,2,9,0.5,0.5,0,0,0.3,10.3
2,2018-04-01 00:35:59,2018-04-01 00:47:19,2,2.37,1,N,230,238,2,10.5,0.5,0.5,0,0,0.3,11.8
